,trial,prior_node,posterior_node,weight
0,0,100,6493,0.0
1,0,6493,6493,0.0
2,0,-2,6493,0.0
3,0,-2,100,0.0
4,0,100,100,0.0
5,0,-1,8493,0.0
6,0,8493,8493,0.0
7,1,100,6493,0.09090398255618402
8,1,6493,6493,0.10200209917279887
9,1,-2,6493,-0.003923254396558575
10,1,-2,100,0.00634916853796509
11,1,100,100,0.08397839042006092
12,1,-1,8493,0.015599613060218313
13,1,8493,8493,0.02656214998722182
14,2,100,6493,0.1734018220337156
15,2,6493,6493,0.23689644003288632
16,2,-2,6493,-0.013134189515050704
17,2,-2,100,0.00783275642646058
18,2,100,100,0.14093708471712066
19,2,-1,8493,0.013195595730346161
20,2,8493,8493,0.07334311083813985
21,3,100,6493,0.21342841600202475
22,3,6493,6493,0.289118190072138
23,3,-2,6493,-0.024951807301405716
24,3,-2,100,0.0059794629465903925
25,3,100,100,0.17425427329434712
26,3,-1,8493,0.016166246908832484
27,3,8493,8493,0.0975322492355562
28,4,100,6493,0.24078510213659604
29,4,6493,6493,0.3357263652754675
30,4,-2,6493,-0.02322649160994581
31,4,-2,100,0.00990576646638272
32,4,100,100,0.19838261150223063
33,4,-1,8493,0.014922240545030024
34,4,8493,8493,0.1224858862650505
35,5,100,6493,0.2552860408343681
36,5,6493,6493,0.3477470002571315
37,5,-2,6493,-0.024907418111839767
38,5,-2,100,0.013008389527108859
39,5,100,100,0.21275375636780133
40,5,-1,8493,0.017742990458403964
41,5,8493,8493,0.13716595629145797
42,6,100,6493,0.26927600290884907
43,6,6493,6493,0.3810713678274645
44,6,-2,6493,-0.02915678690386609
45,6,-2,100,0.010439438469871172
46,6,100,100,0.2219305707792022
47,6,-1,8493,0.015309282208757028
48,6,8493,8493,0.14304231845092527
49,7,100,6493,0.2719254913322733
50,7,6493,6493,0.3708582164927535
51,7,-2,6493,-0.0221051099690355
52,7,-2,100,0.019268516911204143
53,7,100,100,0.22998303267587555
54,7,-1,8493,0.019156995887756
55,7,8493,8493,0.15762902897334738
56,8,100,6493,0.2795977329041848
57,8,6493,6493,0.3967516695095759
58,8,-2,6493,-0.027340531400026017
59,8,-2,100,0.014958276009401836
60,8,100,100,0.23323249140756164
61,8,-1,8493,0.016170330799631417
62,8,8493,8493,0.15840387663309888
63,9,100,6493,0.2784253114626744
64,9,6493,6493,0.3804706612836245
65,9,-2,6493,-0.021123172436308096
66,9,-2,100,0.022872866107360033
67,9,100,100,0.23832665733061037
68,9,-1,8493,0.02010734927667156
69,9,8493,8493,0.168445183804222
70,10,100,6493,0.2820280613429556
71,10,6493,6493,0.3845227248355027
72,10,-2,6493,-0.013050740870683086
73,10,-2,100,0.027991645233954535
74,10,100,100,0.24795042542651946
75,10,-1,8493,0.020331457618156648
76,10,8493,8493,0.18268966636066086
77,11,100,6493,0.29069449514883505
78,11,6493,6493,0.3993186952902939
79,11,-2,6493,-0.02356014755204205
80,11,-2,100,0.020421267700837173
81,11,100,100,0.24670164144001605
82,11,-1,8493,0.019599941296232007
