,trial,prior_node,posterior_node,weight
0,0,-2,594,0.0
1,0,594,594,0.0
2,0,240969,594,0.0
3,0,-1,200927,0.0
4,0,200927,200927,0.0
5,0,200927,218025,0.0
6,0,-1,218025,0.0
7,0,594,240969,0.0
8,0,230372,240969,0.0
9,0,230372,230372,0.0
10,1,-2,594,0.0
11,1,594,594,0.0
12,1,240969,594,0.0
13,1,-1,200927,0.0
14,1,200927,200927,0.0
15,1,200927,218025,0.0
16,1,-1,218025,0.0
17,1,594,240969,0.0
18,1,230372,240969,0.0
19,1,230372,230372,0.0
20,2,-2,594,0.0
21,2,594,594,0.0
22,2,240969,594,0.0
23,2,-1,200927,0.0
24,2,200927,200927,0.0
25,2,200927,218025,0.0
26,2,-1,218025,0.0
27,2,594,240969,0.0
28,2,230372,240969,0.0
29,2,230372,230372,0.0
30,3,-2,594,0.0
31,3,594,594,0.0
32,3,240969,594,0.0
33,3,-1,200927,0.0
34,3,200927,200927,0.0
35,3,200927,218025,0.0
36,3,-1,218025,0.0
37,3,594,240969,0.0
38,3,230372,240969,0.0
39,3,230372,230372,0.0
40,4,-2,594,0.0
41,4,594,594,0.0
42,4,240969,594,0.0
43,4,-1,200927,0.0
44,4,200927,200927,0.0
45,4,200927,218025,0.0
46,4,-1,218025,0.0
47,4,594,240969,0.0
48,4,230372,240969,0.0
49,4,230372,230372,0.0
50,5,-2,594,0.0
51,5,594,594,0.0
52,5,240969,594,0.0
53,5,-1,200927,0.0
54,5,200927,200927,0.0
55,5,200927,218025,0.0
56,5,-1,218025,0.0
57,5,594,240969,0.0
58,5,230372,240969,0.0
59,5,230372,230372,0.0
60,6,-2,594,0.0
61,6,594,594,0.0
62,6,240969,594,0.0
63,6,-1,200927,0.0
64,6,200927,200927,0.0
65,6,200927,218025,0.0
66,6,-1,218025,0.0
67,6,594,240969,0.0
68,6,230372,240969,0.0
69,6,230372,230372,0.0
70,7,-2,594,0.0
71,7,594,594,0.0
72,7,240969,594,0.0
73,7,-1,200927,0.0
74,7,200927,200927,0.0
75,7,200927,218025,0.0
76,7,-1,218025,0.0
77,7,594,240969,0.0
78,7,230372,240969,0.0
79,7,230372,230372,0.0
80,8,-2,594,0.0
81,8,594,594,0.0
82,8,240969,594,0.0
83,8,-1,200927,0.0
84,8,200927,200927,0.0
85,8,200927,218025,0.0
86,8,-1,218025,0.0
87,8,594,240969,0.0
88,8,230372,240969,0.0
89,8,230372,230372,0.0
90,9,-2,594,0.0
91,9,594,594,0.0
92,9,240969,594,0.0
93,9,-1,200927,0.0
94,9,200927,200927,0.0
95,9,200927,218025,0.0
96,9,-1,218025,0.0
97,9,594,240969,0.0
98,9,230372,240969,0.0
99,9,230372,230372,0.0
100,10,-2,594,0.0
101,10,594,594,0.0
102,10,240969,594,0.0
103,10,-1,200927,0.0
104,10,200927,200927,0.0
105,10,200927,218025,0.0
106,10,-1,218025,0.0
107,10,594,240969,0.0
108,10,230372,240969,0.0
109,10,230372,230372,0.0
110,11,-2,594,0.0
111,11,594,594,0.0
112,11,240969,594,0.0
113,11,-1,200927,0.0
114,11,200927,200927,0.0
115,11,200927,218025,0.0
116,11,-1,218025,0.0
117,11,594,240969,0.0
118,11,230372,240969,0.0
119,11,230372,230372,0.0
120,12,-2,594,0.0
121,12,594,594,0.0
122,12,240969,594,0.0
123,12,-1,200927,0.0
124,12,200927,200927,0.0
125,12,200927,218025,0.0
126,12,-1,218025,0.0
127,12,594,240969,0.0
128,12,230372,240969,0.0
129,12,230372,230372,0.0
130,13,-2,594,0.0
131,13,594,594,0.0
132,13,240969,594,0.0
133,13,-1,200927,0.0
134,13,200927,200927,0.0
135,13,200927,218025,0.0
136,13,-1,218025,0.0
137,13,594,240969,0.0
138,13,230372,240969,0.0
139,13,230372,230372,0.0
140,14,-2,594,0.0
141,14,594,594,0.0
142,14,240969,594,0.0
143,14,-1,200927,0.0
144,14,200927,200927,0.0
145,14,200927,218025,0.0
146,14,-1,218025,0.0
147,14,594,240969,0.0
148,14,230372,240969,0.0
149,14,230372,230372,0.0
150,15,-2,594,0.0
151,15,594,594,0.0
152,15,240969,594,0.0
153,15,-1,200927,0.0
154,15,200927,200927,0.0
155,15,200927,218025,0.0
156,15,-1,218025,0.0
157,15,594,240969,0.0
158,15,230372,240969,0.0
159,15,230372,230372,0.0
160,16,-2,594,0.0
161,16,594,594,0.0
162,16,240969,594,0.0
163,16,-1,200927,0.0
164,16,200927,200927,0.0
165,16,200927,218025,0.0
166,16,-1,218025,0.0
167,16,594,240969,0.0
168,16,230372,240969,0.0
169,16,230372,230372,0.0
